,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
86,28,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
87,29,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
88,29,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
89,29,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
90,30,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
91,30,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
92,30,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
93,31,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
94,31,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
95,31,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
96,32,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
97,32,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
98,32,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
99,33,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
100,33,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
101,33,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
102,34,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
103,34,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
104,34,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
105,35,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
106,35,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
107,35,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
108,36,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
109,36,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
110,36,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
111,37,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
112,37,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
113,37,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
114,38,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
115,38,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
116,38,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
117,39,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
118,39,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
119,39,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
120,40,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
121,40,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
122,40,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
123,41,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
124,41,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
125,41,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
126,42,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
127,42,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
128,42,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
129,43,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
