,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
93,31,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
94,31,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
95,31,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
96,32,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
97,32,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
98,32,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
99,33,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
100,33,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
101,33,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
102,34,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
103,34,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
104,34,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
105,35,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
106,35,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
107,35,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
108,36,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
109,36,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
110,36,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
111,37,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
112,37,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
113,37,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
114,38,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
115,38,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
116,38,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
117,39,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
118,39,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
119,39,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
120,40,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
121,40,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
122,40,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
123,41,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
124,41,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
125,41,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
126,42,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
127,42,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
128,42,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
129,43,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
130,43,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
131,43,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
132,44,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
133,44,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
134,44,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
135,45,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
136,45,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
137,45,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
138,46,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
139,46,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
140,46,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
141,47,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
142,47,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
143,47,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
144,48,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
145,48,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
146,48,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
147,49,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
148,49,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
149,49,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
150,50,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
151,50,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
152,50,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
153,51,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
154,51,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
155,51,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
156,52,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
157,52,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
158,52,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
159,53,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
160,53,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
161,53,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
162,54,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
163,54,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
164,54,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
165,55,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
166,55,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
167,55,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
168,56,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
169,56,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
170,56,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
171,57,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
172,57,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
173,57,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
174,58,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
175,58,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
